# Based on the LGM50 drive cycle,
# time [s],current [A]
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0.000153000000000000
8,0
9,0
10,0.00335700000000000
11,0.253758000000000
12,0.683757000000000
13,0.876478000000000
14,0.522011000000000
15,0.834821000000000
16,1.07393000000000
17,1.83474500000000
18,1.83718600000000
19,1.53978800000000
20,0.515755000000000
21,0.380255000000000
22,0.922713000000000
23,0.216678000000000
24,0.0289920000000000
25,0.995346000000000
26,0.426642000000000
27,1.01350400000000
28,0.840009000000000
29,0.913405000000000
30,1.55306300000000
31,-0.156252000000000
32,-0.0718700000000000
33,-0.155032000000000
34,-0.0740060000000000
35,-0.249027000000000
36,-0.333867000000000
37,-0.911421000000000
38,-0.796216000000000
39,-0.463722000000000
40,-0.164950000000000
41,0.711681000000000
42,1.03791900000000
43,1.17555500000000
44,1.61806700000000
45,1.23659100000000
46,1.32433100000000
47,0.782635000000000
48,0.236667000000000
49,-0.150607000000000
50,-0.324407000000000
51,0.0234990000000000
52,0.201419000000000
53,0.461128000000000
54,0.207065000000000
55,-0.0233460000000000
56,0.201572000000000
57,-0.160983000000000
58,-0.0254830000000000
59,0.986496000000000
60,0.726940000000000
61,1.07652400000000
62,1.43724700000000
63,0.854353000000000
64,0.269169000000000
65,-0.311131000000000
66,-0.672007000000000
67,-0.398108000000000
68,-0.361334000000000
69,-0.254826000000000
70,-0.130770000000000
71,-0.141146000000000
72,0.590982000000000
73,0.362554000000000
74,0.597696000000000
75,0.655680000000000
76,-0.151064000000000
77,0.160983000000000
78,1.14992000000000
79,1.23674400000000
80,1.91439700000000
81,2.09582700000000
82,2.28427600000000
83,2.10498200000000
84,2.24918000000000
85,1.99481200000000
86,2.94911100000000
87,2.70893400000000
88,1.94918700000000
89,0.600748000000000
90,1.49904600000000
91,0.180209000000000
92,0.171664000000000
93,-0.130465000000000
94,0.576944000000000
95,0.0869760000000000
96,1.49996200000000
97,1.02983100000000
98,2.02594000000000
99,1.09758100000000
100,1.58312400000000
101,1.14824100000000
102,0.691539000000000
103,-0.552224000000000
104,-0.154421000000000
105,-0.128328000000000
106,0.155337000000000
107,1.91180300000000
108,1.58449700000000
109,2.03646900000000
110,2.67399100000000
111,1.71511400000000
112,2.34302300000000
113,2.42816800000000
114,2.43946000000000
115,2.05401700000000
116,2.58411500000000
117,2.18493900000000
118,2.73624800000000
119,2.32318600000000
120,1.12687900000000
121,-0.0450140000000000
122,-1.10963600000000
123,-0.594186000000000
124,-0.0651560000000000
125,-0.108186000000000
126,1.42885500000000
127,1.90508900000000
128,1.95239200000000
129,2.07904200000000
130,2.05432200000000
131,0.993973000000000
132,1.54543400000000
133,2.78370300000000
134,1.06797900000000
135,2.21286300000000
136,1.10551600000000
137,1.76470600000000
138,1.70779000000000
139,2.06912300000000
140,1.17753900000000
141,1.17738600000000
142,1.17723400000000
143,1.17753900000000
144,2.02395700000000
145,2.40680600000000
146,1.67727200000000
147,2.13275300000000
148,1.72838900000000
149,2.18982200000000
150,1.33684300000000
151,1.78088000000000
152,0.910658000000000
153,1.33699500000000
154,1.33699500000000
155,1.33714800000000
156,1.78057500000000
157,1.35271200000000
158,1.35256000000000
159,1.79812300000000
160,1.36858200000000
161,1.36812400000000
162,1.81567100000000
163,1.83337100000000
164,2.30853700000000
165,1.43190700000000
166,2.34790600000000
167,1.46440800000000
168,1.92492600000000
169,1.85061400000000
170,1.12550500000000
171,1.48058300000000
172,1.48058300000000
173,1.02266000000000
174,1.46425600000000
175,1.00816400000000
176,1.44869200000000
177,0.993362000000000
178,0.979629000000000
179,1.41512200000000
180,0.965286000000000
181,1.85137700000000
182,0.519265000000000
183,1.38368800000000
184,1.38323000000000
185,0.495766000000000
186,0.910201000000000
187,0.897078000000000
188,0.883650000000000
189,0.870222000000000
190,0.857404000000000
191,0.844434000000000
192,0.831312000000000
193,1.24559400000000
194,0.818952000000000
195,1.23140300000000
196,1.23140300000000
197,0.890974000000000
198,1.22041700000000
199,1.22026400000000
200,1.21934800000000
201,2.42786300000000
202,2.57343400000000
203,3.54406000000000
204,2.74570800000000
205,3.65880800000000
206,3.40062600000000
207,3.99191300000000
208,3.63195200000000
209,3.13252500000000
210,2.79697900000000
211,2.84336600000000
