Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Macroscale geometry,,,
Negative current collector thickness [m],1.5E-5,Chen 2020,
Negative electrode thickness [m],8.9E-5,Chen 2020,
Separator thickness [m],1.2E-5,Chen 2020,
Positive electrode thickness [m],7.9E-5,Chen 2020,
Positive current collector thickness [m],2.6E-5,Chen 2020,
Electrode height [m],6.5E-2,Chen 2020,Not needed for 1D
Electrode width [m],1.58,Chen 2020,Not needed for 1D
Negative current collector thickness [m],1.5E-5,Chen 2020,
Positive current collector thickness [m],2.6E-5,Chen 2020,
Negative tab width [m],0.04,,Need to find actual value for LG M50 cell
Negative tab centre y-coordinate [m],0.06,,Need to find actual value for LG M50 cell
Negative tab centre z-coordinate [m],0.137,,Need to find actual value for LG M50 cell
Positive tab width [m],0.04,,Need to find actual value for LG M50 cell
Positive tab centre y-coordinate [m],0.147,,Need to find actual value for LG M50 cell
Positive tab centre z-coordinate [m],0.137,,Need to find actual value for LG M50 cell
,,,
# Current collector properties ,,,
Negative current collector conductivity [S.m-1],58411000,CRC Handbook,copper
Positive current collector conductivity [S.m-1],36914000,CRC Handbook,aluminium
,,,
# Density,,,
Negative current collector density [kg.m-3],8954,,
Positive current collector density [kg.m-3],2707,,
,,,
# Specific heat capacity,,,
Negative current collector specific heat capacity [J.kg-1.K-1],385,,
Positive current collector specific heat capacity [J.kg-1.K-1],897,,
,,,
# Thermal conductivity,,,
Negative current collector thermal conductivity [W.m-1.K-1],401,,
Positive current collector thermal conductivity [W.m-1.K-1],237,,
,,,
# Electrical,,,
Cell capacity [A.h],5,Chen 2020,
