sto,ocp
0,1.93286
0.024332,0.90218
0.028266,0.73554
0.032203,0.65369
0.036137,0.59749
0.040073,0.55228
0.044008,0.51476
0.047944,0.4825
0.051879,0.45403
0.055815,0.42889
0.059749,0.4062
0.063685,0.3861
0.06762,0.36811
0.071556,0.3518
0.075491,0.33753
0.079427,0.32482
0.083361,0.31396
0.087297,0.30456
0.091232,0.29678
0.095168,0.29033
0.099103,0.28456
0.10304,0.27904
0.10697,0.27367
0.11091,0.26819
0.11484,0.26291
0.11878,0.25758
0.12272,0.25277
0.12665,0.24782
0.13059,0.24295
0.13452,0.23827
0.13846,0.23348
0.14239,0.22889
0.14633,0.22473
0.15026,0.22051
0.1542,0.21714
0.15814,0.21466
0.16207,0.21317
0.16601,0.21208
0.16994,0.21155
0.17388,0.21096
0.17782,0.2105
0.18174,0.20998
0.18569,0.20981
0.18963,0.20943
0.19355,0.20906
0.19749,0.20872
0.20143,0.2083
0.20536,0.20767
0.2093,0.20719
0.21322,0.20668
0.21716,0.20605
0.22111,0.20536
0.22503,0.20442
0.22897,0.20358
0.23291,0.20249
0.23684,0.20129
0.24078,0.19993
0.24472,0.19842
0.24864,0.1968
0.25259,0.19499
0.25653,0.19283
0.26045,0.1908
0.26439,0.18868
0.26833,0.18643
0.27226,0.18429
0.2762,0.18209
0.28014,0.17984
0.28406,0.17777
0.28801,0.17594
0.29195,0.17395
0.29587,0.17206
0.29981,0.17015
0.30375,0.16836
0.30768,0.16641
0.31162,0.16454
0.31556,0.16259
0.31949,0.16072
0.32343,0.15879
0.32737,0.15701
0.33129,0.15537
0.33523,0.1538
0.33916,0.15227
0.3431,0.1512
0.34704,0.14992
0.35096,0.14845
0.35491,0.14713
0.35885,0.14574
0.36277,0.14414
0.36671,0.14238
0.37065,0.14062
0.37458,0.13892
0.37852,0.13716
0.38246,0.13552
0.38639,0.13395
0.39033,0.13264
0.39427,0.13183
0.39819,0.13132
0.40213,0.13078
0.40607,0.13038
0.41,0.12989
0.41394,0.12945
0.41788,0.12897
0.42181,0.12843
0.42575,0.12706
0.42969,0.12742
0.43361,0.12719
0.43755,0.12662
0.44149,0.12645
0.44542,0.12605
0.44936,0.12576
0.4533,0.12561
0.45723,0.12536
0.46117,0.12526
0.46511,0.12519
0.46903,0.12501
0.47297,0.12484
0.47692,0.12469
0.48084,0.12459
0.48478,0.1245
0.48871,0.1244
0.49265,0.12444
0.49659,0.12425
0.50051,0.12419
0.50445,0.12423
0.5084,0.12415
0.51232,0.12398
0.51626,0.12383
0.5202,0.1237
0.52413,0.12381
0.52807,0.12373
0.53201,0.1237
0.53593,0.12345
0.53987,0.12341
0.54382,0.12343
0.54774,0.12337
0.55168,0.12326
0.55562,0.12312
0.55955,0.1232
0.56349,0.12297
0.56743,0.12308
0.57135,0.12287
0.5753,0.12284
0.57924,0.12282
0.58316,0.12284
0.5871,0.12266
0.59104,0.12253
0.59497,0.12244
0.59891,0.12244
0.60285,0.1223
0.60677,0.12217
0.61072,0.12213
0.61464,0.12213
0.61858,0.12196
0.62252,0.12186
0.62645,0.12165
0.63039,0.12175
0.63433,0.12154
0.63825,0.12148
0.6422,0.12114
0.64614,0.12129
0.65006,0.12108
0.654,0.12102
0.65794,0.12091
0.66187,0.12085
0.66581,0.1207
0.66975,0.12058
0.67367,0.1203
0.67762,0.12028
0.68156,0.12005
0.68548,0.11993
0.68942,0.11976
0.69336,0.11967
0.69729,0.1194
0.70123,0.11928
0.70517,0.11907
0.7091,0.11898
0.71304,0.11873
0.71698,0.11854
0.7209,0.11835
0.72484,0.11802
0.72877,0.11785
0.73271,0.11764
0.73665,0.11745
0.74057,0.11707
0.74452,0.11674
0.74846,0.11649
0.75238,0.11617
0.75632,0.11581
0.76026,0.11537
0.76419,0.11491
0.76813,0.11464
0.77207,0.11403
0.776,0.11353
0.77994,0.11292
0.78388,0.11225
0.7878,0.11147
0.79174,0.11063
0.79568,0.10967
0.79961,0.10839
0.80355,0.10717
0.80749,0.10559
0.81142,0.1036
0.81536,0.10144
0.8193,0.098863
0.82322,0.09636
0.82716,0.09403
0.8311,0.091871
0.83503,0.090458
0.83897,0.089445
0.8429,0.0887
0.84684,0.088376
0.85078,0.087688
0.8547,0.08744
0.85864,0.08721
0.86258,0.087134
0.86651,0.087058
0.87045,0.087038
0.87439,0.087
0.87832,0.086981
0.88226,0.086943
0.8862,0.086924
0.89012,0.086943
0.89406,0.086962
0.89801,0.087
0.90193,0.087038
0.90587,0.087038
0.90981,0.087077
0.91374,0.086981
0.91768,0.086962
0.92162,0.086981
0.92554,0.087038
0.92948,0.087
0.93343,0.087077
0.93735,0.086828
0.94129,0.087019
0.94523,0.086905
0.94916,0.086981
0.9531,0.087
0.95704,0.087038
0.96096,0.086886
0.96491,0.087115
0.96883,0.087115
0.97277,0.087038
0.97671,0.087
0.98064,0.086981
0.98458,0.086847
0.98852,0.086981
0.99204,0.086886
0.99482,0.087191
0.99647,0.087153
0.9984,0.087249
1,0.087287
