sto,ocp
0,4.1854
0.0043029,4.1835
0.0086057,4.1819
0.012909,4.1805
0.017211,4.1791
0.021514,4.1778
0.025817,4.1763
0.03012,4.1751
0.034423,4.1737
0.038726,4.1724
0.043029,4.1707
0.047332,4.169
0.051621,4.167
0.055924,4.1647
0.060227,4.1622
0.06453,4.1592
0.068833,4.1561
0.073136,4.1526
0.077438,4.149
0.081741,4.1451
0.086044,4.1411
0.090347,4.1369
0.09465,4.1325
0.098953,4.1281
0.10326,4.1236
0.10756,4.1189
0.11186,4.1143
0.11616,4.1097
0.12047,4.105
0.12477,4.1002
0.12907,4.0956
0.13338,4.0908
0.13768,4.0862
0.14198,4.0816
0.14628,4.0771
0.15059,4.0726
0.15488,4.0684
0.15918,4.064
0.16348,4.0598
0.16779,4.0557
0.17209,4.0516
0.17639,4.0478
0.18069,4.0438
0.185,4.04
0.1893,4.0363
0.1936,4.0329
0.19791,4.0293
0.20221,4.0257
0.20651,4.0224
0.21081,4.019
0.21512,4.0156
0.21942,4.0126
0.22372,4.0093
0.22803,4.0061
0.23233,4.003
0.23663,3.9999
0.24093,3.9967
0.24524,3.9936
0.24954,3.9903
0.25384,3.9872
0.25813,3.9839
0.26244,3.9807
0.26674,3.9774
0.27104,3.9741
0.27534,3.9709
0.27965,3.9675
0.28395,3.964
0.28825,3.9607
0.29256,3.9571
0.29686,3.9534
0.30116,3.9499
0.30546,3.9462
0.30977,3.9425
0.31407,3.9388
0.31837,3.9351
0.32268,3.9314
0.32698,3.9275
0.33128,3.9236
0.33558,3.9197
0.33989,3.9158
0.34419,3.9117
0.34849,3.9077
0.3528,3.9037
0.35709,3.8998
0.36139,3.8956
0.36569,3.8916
0.36999,3.8877
0.3743,3.8835
0.3786,3.8794
0.3829,3.8754
0.38721,3.8712
0.39151,3.8672
0.39581,3.8631
0.40011,3.8592
0.40442,3.8552
0.40872,3.8512
0.41302,3.8473
0.41733,3.8437
0.42163,3.8398
0.42593,3.836
0.43023,3.8325
0.43454,3.8289
0.43884,3.8255
0.44314,3.822
0.44745,3.8188
0.45175,3.8156
0.45604,3.8123
0.46034,3.8094
0.46464,3.8063
0.46895,3.8034
0.47325,3.8005
0.47755,3.7978
0.48186,3.7951
0.48616,3.7925
0.49046,3.7899
0.49476,3.7874
0.49907,3.7848
0.50337,3.7825
0.50767,3.7801
0.51198,3.7777
0.51628,3.7755
0.52058,3.7733
0.52488,3.771
0.52919,3.7688
0.53349,3.7668
0.53779,3.7646
0.5421,3.7624
0.5464,3.7605
0.5507,3.7585
0.55499,3.7565
0.55929,3.7544
0.5636,3.7525
0.5679,3.7505
0.5722,3.7483
0.57651,3.7465
0.58081,3.7445
0.58511,3.7425
0.58941,3.7407
0.59372,3.7386
0.59802,3.7368
0.60232,3.7348
0.60663,3.7329
0.61093,3.731
0.61523,3.7289
0.61953,3.727
0.62384,3.725
0.62814,3.7231
0.63244,3.7212
0.63675,3.7191
0.64105,3.7171
0.64535,3.7152
0.64965,3.7132
0.65396,3.7111
0.65825,3.709
0.66255,3.7071
0.66685,3.705
0.67115,3.7029
0.67546,3.7009
0.67976,3.6988
0.68406,3.6966
0.68837,3.6943
0.69267,3.6923
0.69697,3.69
0.70127,3.6878
0.70558,3.6856
0.70988,3.6834
0.71418,3.6811
0.71849,3.6789
0.72279,3.6765
0.72709,3.6741
0.7314,3.6718
0.7357,3.6695
0.74,3.667
0.7443,3.6647
0.74861,3.6623
0.75291,3.6599
0.75721,3.6574
0.7615,3.6551
0.7658,3.6525
0.77011,3.65
0.77441,3.6475
0.77871,3.6453
0.78302,3.6428
0.78732,3.6403
0.79162,3.6379
0.79592,3.6355
0.80023,3.6331
0.80453,3.6305
0.80883,3.6282
0.81314,3.6258
0.81744,3.6236
0.82174,3.6211
0.82604,3.6188
0.83035,3.6165
0.83465,3.6141
0.83895,3.6118
0.84326,3.6095
0.84756,3.6071
0.85186,3.6049
0.85615,3.6028
0.86045,3.6004
0.86476,3.5982
0.86906,3.5959
0.87337,3.5938
0.87767,3.5915
0.88197,3.5895
0.88627,3.5872
0.89058,3.5851
0.89488,3.5829
0.89918,3.5808
0.90348,3.5787
0.90778,3.5765
0.91209,3.5744
0.91639,3.5713
0.92069,3.5704
0.92499,3.5684
0.9293,3.5662
0.9336,3.5644
0.9379,3.5623
0.9422,3.5603
0.94651,3.5584
0.95081,3.5565
0.95511,3.5545
0.95941,3.5524
0.96371,3.5505
0.96802,3.5484
0.97232,3.5466
0.97662,3.5444
0.98092,3.5425
0.98522,3.5404
0.98953,3.5383
0.99383,3.5362
0.99813,3.5338
1.0024,3.5316
1.0067,3.5293
1.011,3.5267
1.0153,3.5242
1.0196,3.5213
1.0239,3.5185
1.0282,3.5154
1.0325,3.5119
1.0369,3.509
1.0412,3.5047
1.0455,3.5001
1.0498,3.4943
1.0541,3.4878
1.0584,3.4794
1.0627,3.4685
1.0664,3.4563
